name,category,location,cost,rating
Delicious Bites,Catering,Hyderabad,30000,4.5
Royal Feasts,Catering,Hyderabad,28000,4.6
Taste Fiesta,Catering,Hyderabad,20000,4.2
Budget Biryani,Catering,Hyderabad,15000,3.9
SnapShots Pro,Photography,Hyderabad,25000,4.7
PhotoBooth Pro,Photography,Hyderabad,24000,4.4
Pixel Memories,Photography,Hyderabad,18000,4.0
Wedding Clicks,Photography,Hyderabad,12000,3.8
Dream Venues,Venue,Hyderabad,40000,4.3
Elite Venues,Venue,Hyderabad,37000,4.8
Shubham Halls,Venue,Hyderabad,25000,4.0
Simple Gardens,Venue,Hyderabad,18000,3.7
Tasty Treats,Catering,Bangalore,20000,4.2
Veggie Delight,Catering,Bangalore,18000,4.0
ClickNFlash,Photography,Bangalore,27000,4.1
Frame Factory,Photography,Bangalore,20000,4.3
VenueX,Venue,Bangalore,35000,4.6
Peaceful Palace,Venue,Bangalore,25000,4.1

